"SHORTNAME";"global_id";"FULLNAME";"CODE";"ALFA2";"ALFA3";"SHORTNAME_en";"FULLNAME_en";"CODE_en";"ALFA2_en";"ALFA3_en";
"Краткое наименование страны";"global_id";"Полное официальное наименование страны";"Цифровой код страны";"Буквенный код альфа-2";"Буквенный код альфа-3";"SHORTNAME_en";"FULLNAME_en";"CODE_en";"ALFA2_en";"ALFA3_en";
"БУРКИНА-ФАСО";"273330158";"";"854";"BF";"BFA";"";"";"";"";"";
"УРУГВАЙ";"273330159";"Восточная Республика Уругвай";"858";"UY";"URY";"";"";"";"";"";
"УЗБЕКИСТАН";"273330160";"Республика Узбекистан";"860";"UZ";"UZB";"";"";"";"";"";
"ВЕНЕСУЭЛА (БОЛИВАРИАНСКАЯ РЕСПУБЛИКА)";"273330161";"Боливарианская Республика Венесуэла";"862";"VE";"VEN";"";"";"";"";"";
"САМОА";"273330162";"Независимое Государство Самоа";"882";"WS";"WSM";"";"";"";"";"";
"ЙЕМЕН";"273330163";"Йеменская Республика";"887";"YE";"YEM";"";"";"";"";"";
"ЗАМБИЯ";"273330164";"Республика Замбия";"894";"ZM";"ZMB";"";"";"";"";"";
"АБХАЗИЯ";"273330165";"Республика Абхазия";"895";"AB";"ABH";"";"";"";"";"";
"ЮЖНАЯ ОСЕТИЯ";"273330166";"Республика Южная Осетия";"896";"OS";"OST";"";"";"";"";"";
"АФГАНИСТАН";"273330167";"Переходное Исламское Государство Афганистан";"004";"AF";"AFG";"";"";"";"";"";
"АЛБАНИЯ";"273330168";"Республика Албания";"008";"AL";"ALB";"";"";"";"";"";
"АНТАРКТИДА";"273330169";"";"010";"AQ";"ATA";"";"";"";"";"";
"АЛЖИР";"273330170";"Алжирская Народная Демократическая Республика";"012";"DZ";"DZA";"";"";"";"";"";
"АМЕРИКАНСКОЕ САМОА";"273330171";"";"016";"AS";"ASM";"";"";"";"";"";
"АНДОРРА";"273330172";"Княжество Андорра";"020";"AD";"AND";"";"";"";"";"";
"АНГОЛА";"273330173";"Республика Ангола";"024";"AO";"AGO";"";"";"";"";"";
"АНТИГУА И БАРБУДА";"273330174";"";"028";"AG";"ATG";"";"";"";"";"";
"АЗЕРБАЙДЖАН";"273330175";"Республика Азербайджан";"031";"AZ";"AZE";"";"";"";"";"";
"АРГЕНТИНА";"273330176";"Аргентинская Республика";"032";"AR";"ARG";"";"";"";"";"";
"АВСТРАЛИЯ";"273330177";"";"036";"AU";"AUS";"";"";"";"";"";
"БАГАМЫ";"273330178";"Содружество Багамы";"044";"BS";"BHS";"";"";"";"";"";
"БАХРЕЙН";"273330179";"Королевство Бахрейн";"048";"BH";"BHR";"";"";"";"";"";
"БАНГЛАДЕШ";"273330180";"Народная Республика Бангладеш";"050";"BD";"BGD";"";"";"";"";"";
"АРМЕНИЯ";"273330181";"Республика Армения";"051";"AM";"ARM";"";"";"";"";"";
"БАРБАДОС";"273330182";"";"052";"BB";"BRB";"";"";"";"";"";
"БЕЛЬГИЯ";"273330183";"Королевство Бельгии";"056";"BE";"BEL";"";"";"";"";"";
"БЕРМУДЫ";"273330184";"";"060";"BM";"BMU";"";"";"";"";"";
